SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,563 Malcolm Rd NW,Vienna,VA,22180,988000,4,3.5,Malcolm Hollow,4438,23400,1987,2,Garage,,Sold,,,,,981000,2018-03-09,981000,http://www.redfin.com/VA/Vienna/563-Malcolm-Rd-NW-22180/home/9452381,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10096408,USRealty.com LLP,N,Y,38.9011994,-77.2810341,false
Past Sale,Single Family Residential,8159 Silverberry Way,Vienna,VA,22182,950000,4,4.5,Fox Creek,4698,6426,1994,2,Garage,,Sold,,,,,900000,2018-04-02,900000,http://www.redfin.com/VA/Vienna/8159-Silverberry-Way-22182/home/9463249,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10127547,"RE/MAX Preferred Prop., Inc.",N,Y,38.904357,-77.22865,false
MLS Listing,Single Family Residential,Cherri Dr,Falls Church,VA,22043,1119000,4,3.5,Pimmit Hills,3462,10890,2017,1,,400,Active,2018-04-15,12:00,16:00,,1049999,2012-08-31,279000,http://www.redfin.com/VA/Falls-Church/Cherri-Dr-22043/home/17883153,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX9884582,Merion Realty LLC,N,Y,38.91212,-77.20467,false
MLS Listing,Townhouse,7256 Evans Mill Rd,Mclean,VA,22101,1039900,4,3.5,Evans Mill Pond,3102,4060,1984,2,Garage,358,Active,,,,2018-04-02,1075000,2007-04-30,974900,http://www.redfin.com/VA/McLean/7256-Evans-Mill-Rd-22101/home/9389868,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX9924189,"Washington Fine Properties, LLC",N,Y,38.935442,-77.194629,false
Past Sale,Single Family Residential,Griffith Rd,Falls Church,VA,22043,,,,22043,,,,,,,,,,,,,,,http://www.redfin.com/VA/Falls-Church/Griffith-Rd-22043/home/143986971,,,,N,Y,38.91133,-77.20002,
MLS Listing,Single Family Residential,1317 Ozkan St,Mclean,VA,22101,1045000,4,3.5,Mc Lean Knolls,2664,10925,1974,2,Garage,240,Pending,,,,2018-01-22,1075000,1999-06-24,472000,http://www.redfin.com/VA/McLean/1317-Ozkan-St-22101/home/9389347,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10031866,"Washington Fine Properties, LLC",N,Y,38.93562,-77.198125,false
MLS Listing,Single Family Residential,3716 Rust Rd,Annandale,VA,22003,989000,6,4.5,Pleasant Ridge,5723,35632,1998,3,Garage,37,Active,,,,2018-04-06,999999,1998-10-15,561675,http://www.redfin.com/VA/Annandale/3716-Rust-Rd-22003/home/9629779,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10175486,RE/MAX Executives,N,Y,38.8429451,-77.2086966,false
MLS Listing,Single Family Residential,2918 18th St S,Arlington,VA,22204,919000,4,4.5,Johnsons Hill,4600,7000,2007,2,Garage,50,Active,,,,2018-03-20,939900,2008-07-15,810000,http://www.redfin.com/VA/Arlington/2918-18th-St-S-22204/home/16897023,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10163860,RE/MAX Allegiance,N,N,38.8544903,-77.085563,false
MLS Listing,Single Family Residential,2809 Glade Vale Way,Vienna,VA,22181,949400,4,3.5,Oakton Glade,3253,27811,1984,2,Garage,154,Active,2018-04-15,13:00,16:00,2018-03-31,989500,2010-04-23,750000,http://www.redfin.com/VA/Vienna/2809-Glade-Vale-Way-22181/home/9520009,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10102327,"Weichert, REALTORS",N,Y,38.8852313,-77.2928383,false
Past Sale,Single Family Residential,1606 White Pine Dr,Vienna,VA,22182,749000,3,3.0,Metes & Bounds,2888,40817,1974,2,Garage,,Sold,,,,,747000,2018-02-22,747000,http://www.redfin.com/VA/Vienna/1606-White-Pine-Dr-22182/home/9362577,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10136771,Loudoun Realty LLC,N,Y,38.939898,-77.2741211,false
